EXTERNAL ID,E-INVOICE PREFIX,E-INVOICE NUMBER,E-INVOICE INTEGRATION,CUSTOMER,PHASE,PROJECT,SUBSIDIARY,DEPARTMENT,BUDGET CODE,CURRENCY,EXCHANGE RATE,PROFORMA INVOICE TYPE,MEMO MAIN,DATE,DOCUMENT DATE,DUE DATE,BUDGET PERIOD,BUDGET PERIOD(1),APPROVAL STATUS,E-INVOICE FORM,LINE ID,ITEM,  QUANTITY  ,UNITS, RATE , AMOUNT ,TAX CODE,MEMO (LINE) - Anh,MEMO (VI),"Mô tả hàng hóa, vật tư (changed)",UNIT NO,MASTER RECORD ID,Unit for lease,PREMISE LEASE CONTRACT,BILL START DATE,BILL END DATE,BILL START DATE(1),BILL END DATE(1),SUB. BENEFICIARY NAME,BANK ACCOUNT,SWIFT CODE,PHASE(1),PROJECT(1),BUDGET CODE(1)
INV/BTU/20251015_01,,,T,C00000272 BOWKER,TU1_01: VSIP II-A_Phase 1,PTU1: VSIP II-A,Parent Company : BWID : VC1 : VC2 : VC3 : BWID LOGISTICS TAN UYEN,Finance & Accounting,3010303 Utilities charges to tenants,VND,1,Utility,Electricity from 20/05/2025 to 20/06/2025,15/10/2025,15/10/2025,22/10/2025,15/10/2025,15/10/2025,Pending Approval,1,1,Electricity,466.00,kWh,4587.00,2137542.00,HHDV:HHDV_VAT10,Utility of A1.1 From 20/05/2025 To 20/06/2025,Chi phí tiện ích A1.1 Từ ngày 20/05/2025 Đến ngày 20/06/2025,Phí quản lý tiện ích liên quan đến điện kho A1.1 từ ngày 20/05/2025 đến ngày 20/06/2025,A1.1,523,1950,Premise Lease Contract (PLC) #PLC/BTU/000002,20/05/2025,20/06/2025,20/05/2025,20/06/2025,BWID LOGISTICS TAN UYEN,112122002 VCB: Current Account VND - Ba Dinh - 1018776868,BFTVVNVX,TU1_01: VSIP II-A_Phase 1,PTU1: VSIP II-A,3010303 Utilities charges to tenants
INV/BTU/20251015_01,,,T,C00000272 BOWKER,TU1_01: VSIP II-A_Phase 1,PTU1: VSIP II-A,Parent Company : BWID : VC1 : VC2 : VC3 : BWID LOGISTICS TAN UYEN,Finance & Accounting,3010303 Utilities charges to tenants,VND,1,Utility,Water supply from 20/05/2025 to 20/06/2025,15/10/2025,15/10/2025,22/10/2025,15/10/2025,15/10/2025,Pending Approval,1,2,Water,7.00,M3,14956.00,104692.00,HHDV:HHDV_VAT10,Utility of A1.1 From 20/05/2025 To 20/06/2025,Chi phí tiện ích A1.1 Từ ngày 20/05/2025 Đến ngày 20/06/2025,Phí quản lý tiện ích liên quan đến điện kho A1.1 từ ngày 20/05/2025 đến ngày 20/06/2025,A1.1,523,1950,Premise Lease Contract (PLC) #PLC/BTU/000002,20/05/2025,20/06/2025,20/05/2025,20/06/2025,BWID LOGISTICS TAN UYEN,112122002 VCB: Current Account VND - Ba Dinh - 1018776868,BFTVVNVX,TU1_01: VSIP II-A_Phase 1,PTU1: VSIP II-A,3010303 Utilities charges to tenants
INV/BTU/20251015_01,,,T,C00000272 BOWKER,TU1_01: VSIP II-A_Phase 1,PTU1: VSIP II-A,Parent Company : BWID : VC1 : VC2 : VC3 : BWID LOGISTICS TAN UYEN,Finance & Accounting,3010303 Utilities charges to tenants,VND,1,Utility,Domestic wastewater treatment from 20/05/2025 to 20/06/2025,15/10/2025,15/10/2025,22/10/2025,15/10/2025,15/10/2025,Pending Approval,1,3,Wastewater,5.60,M3,8324.00,46614.40,HHDV:HHDV_VAT10,Utility of A1.1 From 20/05/2025 To 20/06/2025,Chi phí tiện ích A1.1 Từ ngày 20/05/2025 Đến ngày 20/06/2025,Phí quản lý tiện ích liên quan đến điện kho A1.1 từ ngày 20/05/2025 đến ngày 20/06/2025,A1.1,523,1950,Premise Lease Contract (PLC) #PLC/BTU/000002,20/05/2025,20/06/2025,20/05/2025,20/06/2025,BWID LOGISTICS TAN UYEN,112122002 VCB: Current Account VND - Ba Dinh - 1018776868,BFTVVNVX,TU1_01: VSIP II-A_Phase 1,PTU1: VSIP II-A,3010303 Utilities charges to tenants
INV/BTU/20251015_02,,,T,C00000857 LESSO,TU1_01: VSIP II-A_Phase 1,PTU1: VSIP II-A,Parent Company : BWID : VC1 : VC2 : VC3 : BWID LOGISTICS TAN UYEN,Finance & Accounting,3010303 Utilities charges to tenants,VND,1,Utility,Electricity from 20/05/2025 to 20/06/2025,15/10/2025,15/10/2025,22/10/2025,15/10/2025,15/10/2025,Pending Approval,1,1,Electricity,1012.00,kWh,5184.00,5246208.00,HHDV:HHDV_VAT10,Utility of B5 From 20/05/2025 To 20/06/2025,Chi phí tiện ích B5 Từ ngày 20/05/2025 Đến ngày 20/06/2025,Phí quản lý tiện ích liên quan đến điện kho B5 từ ngày 20/05/2025 đến ngày 20/06/2025,B5,22072,1440,Premise Lease Contract (PLC) #PLC/BTU/000008,20/05/2025,20/06/2025,20/05/2025,20/06/2025,BWID LOGISTICS TAN UYEN,112122002 VCB: Current Account VND - Ba Dinh - 1018776868,BFTVVNVX,TU1_01: VSIP II-A_Phase 1,PTU1: VSIP II-A,3010303 Utilities charges to tenants
INV/BTU/20251015_02,,,T,C00000857 LESSO,TU1_01: VSIP II-A_Phase 1,PTU1: VSIP II-A,Parent Company : BWID : VC1 : VC2 : VC3 : BWID LOGISTICS TAN UYEN,Finance & Accounting,3010303 Utilities charges to tenants,VND,1,Utility,Water supply from 20/05/2025 to 20/06/2025,15/10/2025,15/10/2025,22/10/2025,15/10/2025,15/10/2025,Pending Approval,1,2,Water,18.00,M3,14847.00,267246.00,HHDV:HHDV_VAT10,Utility of B5 From 20/05/2025 To 20/06/2025,Chi phí tiện ích B5 Từ ngày 20/05/2025 Đến ngày 20/06/2025,Phí quản lý tiện ích liên quan đến điện kho B5 từ ngày 20/05/2025 đến ngày 20/06/2025,B5,22072,1440,Premise Lease Contract (PLC) #PLC/BTU/000008,20/05/2025,20/06/2025,20/05/2025,20/06/2025,BWID LOGISTICS TAN UYEN,112122002 VCB: Current Account VND - Ba Dinh - 1018776868,BFTVVNVX,TU1_01: VSIP II-A_Phase 1,PTU1: VSIP II-A,3010303 Utilities charges to tenants
INV/BTU/20251015_02,,,T,C00000857 LESSO,TU1_01: VSIP II-A_Phase 1,PTU1: VSIP II-A,Parent Company : BWID : VC1 : VC2 : VC3 : BWID LOGISTICS TAN UYEN,Finance & Accounting,3010303 Utilities charges to tenants,VND,1,Utility,Domestic wastewater treatment from 20/05/2025 to 20/06/2025,15/10/2025,15/10/2025,22/10/2025,15/10/2025,15/10/2025,Pending Approval,1,3,Wastewater,14.40,M3,8324.00,119865.60,HHDV:HHDV_VAT10,Utility of B5 From 20/05/2025 To 20/06/2025,Chi phí tiện ích B5 Từ ngày 20/05/2025 Đến ngày 20/06/2025,Phí quản lý tiện ích liên quan đến điện kho B5 từ ngày 20/05/2025 đến ngày 20/06/2025,B5,22072,1440,Premise Lease Contract (PLC) #PLC/BTU/000008,20/05/2025,20/06/2025,20/05/2025,20/06/2025,BWID LOGISTICS TAN UYEN,112122002 VCB: Current Account VND - Ba Dinh - 1018776868,BFTVVNVX,TU1_01: VSIP II-A_Phase 1,PTU1: VSIP II-A,3010303 Utilities charges to tenants
INV/BTU/20251015_03,,,T,C00000280 TCL,TU1_01: VSIP II-A_Phase 1,PTU1: VSIP II-A,Parent Company : BWID : VC1 : VC2 : VC3 : BWID LOGISTICS TAN UYEN,Finance & Accounting,3010303 Utilities charges to tenants,VND,1,Utility,Electricity from 20/05/2025 to 20/06/2025,15/10/2025,15/10/2025,22/10/2025,15/10/2025,15/10/2025,Pending Approval,1,1,Electricity,3597.00,kWh,4816.00,17323152.00,HHDV:HHDV_VAT10,Utility of A2 From 20/05/2025 To 20/06/2025,Chi phí tiện ích A2 Từ ngày 20/05/2025 Đến ngày 20/06/2025,Phí quản lý tiện ích liên quan đến điện kho A2 từ ngày 20/05/2025 đến ngày 20/06/2025,A2,532,1728,Premise Lease Contract (PLC) #PLC/BTU/000001,20/05/2025,20/06/2025,20/05/2025,20/06/2025,BWID LOGISTICS TAN UYEN,112122002 VCB: Current Account VND - Ba Dinh - 1018776868,BFTVVNVX,TU1_01: VSIP II-A_Phase 1,PTU1: VSIP II-A,3010303 Utilities charges to tenants
INV/BTU/20251015_03,,,T,C00000280 TCL,TU1_01: VSIP II-A_Phase 1,PTU1: VSIP II-A,Parent Company : BWID : VC1 : VC2 : VC3 : BWID LOGISTICS TAN UYEN,Finance & Accounting,3010303 Utilities charges to tenants,VND,1,Utility,Water supply from 20/05/2025 to 20/06/2025,15/10/2025,15/10/2025,22/10/2025,15/10/2025,15/10/2025,Pending Approval,1,2,Water,330.00,M3,14847.00,4899510.00,HHDV:HHDV_VAT10,Utility of A2 From 20/05/2025 To 20/06/2025,Chi phí tiện ích A2 Từ ngày 20/05/2025 Đến ngày 20/06/2025,Phí quản lý tiện ích liên quan đến điện kho A2 từ ngày 20/05/2025 đến ngày 20/06/2025,A2,532,1728,Premise Lease Contract (PLC) #PLC/BTU/000001,20/05/2025,20/06/2025,20/05/2025,20/06/2025,BWID LOGISTICS TAN UYEN,112122002 VCB: Current Account VND - Ba Dinh - 1018776868,BFTVVNVX,TU1_01: VSIP II-A_Phase 1,PTU1: VSIP II-A,3010303 Utilities charges to tenants
INV/BTU/20251015_03,,,T,C00000280 TCL,TU1_01: VSIP II-A_Phase 1,PTU1: VSIP II-A,Parent Company : BWID : VC1 : VC2 : VC3 : BWID LOGISTICS TAN UYEN,Finance & Accounting,3010303 Utilities charges to tenants,VND,1,Utility,Domestic wastewater treatment from 20/05/2025 to 20/06/2025,15/10/2025,15/10/2025,22/10/2025,15/10/2025,15/10/2025,Pending Approval,1,3,Wastewater,264.00,M3,8324.00,2197536.00,HHDV:HHDV_VAT10,Utility of A2 From 20/05/2025 To 20/06/2025,Chi phí tiện ích A2 Từ ngày 20/05/2025 Đến ngày 20/06/2025,Phí quản lý tiện ích liên quan đến điện kho A2 từ ngày 20/05/2025 đến ngày 20/06/2025,A2,532,1728,Premise Lease Contract (PLC) #PLC/BTU/000001,20/05/2025,20/06/2025,20/05/2025,20/06/2025,BWID LOGISTICS TAN UYEN,112122002 VCB: Current Account VND - Ba Dinh - 1018776868,BFTVVNVX,TU1_01: VSIP II-A_Phase 1,PTU1: VSIP II-A,3010303 Utilities charges to tenants
INV/BTU/20251015_03,,,T,C00000280 TCL,TU1_01: VSIP II-A_Phase 1,PTU1: VSIP II-A,Parent Company : BWID : VC1 : VC2 : VC3 : BWID LOGISTICS TAN UYEN,Finance & Accounting,3010303 Utilities charges to tenants,VND,1,Utility,Electricity from 20/05/2025 to 20/06/2025,15/10/2025,15/10/2025,22/10/2025,15/10/2025,15/10/2025,Pending Approval,1,4,Electricity,4946.00,kWh,4816.00,23819936.00,HHDV:HHDV_VAT10,Utility of B1 From 20/05/2025 To 20/06/2025,Chi phí tiện ích B1 Từ ngày 20/05/2025 Đến ngày 20/06/2025,Phí quản lý tiện ích liên quan đến điện kho B1 từ ngày 20/05/2025 đến ngày 20/06/2025,B1,532,1730,Premise Lease Contract (PLC) #PLC/BTU/000001,20/05/2025,20/06/2025,20/05/2025,20/06/2025,BWID LOGISTICS TAN UYEN,112122002 VCB: Current Account VND - Ba Dinh - 1018776868,BFTVVNVX,TU1_01: VSIP II-A_Phase 1,PTU1: VSIP II-A,3010303 Utilities charges to tenants
