Bank account;;;Bank account;;;Banks;;;;;Bank Branch;;;;;Key payment - receipt;;;;;;Customer;;;;;;;;Provision percentage;;
;;;;;;;;;;;;;;;;;Use;;;;;;;;;;;;;;;
Abb.;Entities;Name;Abb.;;;Bank;Abb.;;;;Branch;Bank;;;;Key payment - receipt;Category;Type;;;;Customer code;Customer Name;Project Site;Abb.;Entities;;;;Overdue;Type;Provision
BWD;BWID BINH DUONG;BWID JSC;BWD;;;VIETCOMBANK;VCB;;;;BIDV - BINH DUONG;OTHERS;;;;G&A expense;Operating expense;Payment;;;;C00000025;CÔNG TY TNHH HANSEI SÀI GÒN;BBA_02;BWD;BWID BINH DUONG;;;;360 days;Over 360 days;100%
BHD;BWID HAI DUONG;Subsidiaries;BHD;;;VIETINBANK;VTB;;;;BIDV - THANH XUAN;BIDV - THANH XUAN;;;;Construction expense;Construction expense;Payment;;;;C00000128;CÔNG TY CP THƯƠNG MẠI VÀ DỊCH VỤ LOGISTICS T&T GLOBAL;BBA_04;BWD;BWID BINH DUONG;;;;270 days;270 - 360 days;70%
BBN;BWID BAC NINH;Subsidiaries;BBN;;;BIDV;BIDV;;;;BIDV - LONG BIEN;BIDV - LONG BIEN;;;;Repair and maintenance expense;Operating expense;Payment;;;;C00000022;CÔNG TY TNHH SẢN XUẤT INSEASON;BBA_02;BWD;BWID BINH DUONG;;;;180 days;180 - 270 days;50%
HD2;BWID HAI DUONG 2;Subsidiaries;HD2;;;OCB;OCB;;;;VIETCOMBANK - BA DINH;VIETCOMBANK - BA DINH;;;;Professional service fee;Operating expense;Payment;;;;C00000129;CÔNG TY TNHH TẬP ĐOÀN ĐỔI MỚI BIOPLASTIC;MP3_04;BWD;BWID BINH DUONG;;;;90 days;90 - 180 days;30%
BHP;BWID HAI PHONG;Subsidiaries;BHP;;;VIB;VIB;;;;VIETCOMBANK - DONG SAI GON;OTHERS;;;;Land deposit payment;Land acquisition;Payment;;;;C00000068;CÔNG TY TNHH CÔNG NGHỆ CIMIYA (VIỆT NAM);BN1_01;BBN;BWID BAC NINH;;;;60 days;60 - 90 days;20%
BNT;BWID NHON TRACH;Subsidiaries;BNT;;;MB;MBB;;;;VIETCOMBANK - HCM;VIETCOMBANK - HCM;;;;Land lease price payment;Land acquisition;Payment;;;;C00000132;CÔNG TY TNHH TECHTRONIC INDUSTRIES VIỆT NAM MANUFACTURING;MP3_05;BWD;BWID BINH DUONG;;;;30 days;30 - 60 days;10%
HD3;BWID HAI DUONG 3;Subsidiaries;HD3;;;ACB;ACB;;;;VIETINBANK - TIEN SON;VIETINBANK - TIEN SON;;;;Deal payment;Deal payment;Payment;;;;C00000180;ZHONGSHAN CITY QINGFENG METAL MACHINERY CO., LTD;MP3_04;BWD;BWID BINH DUONG;;;;10 days;10 - 30 days;0%
BTH;BWID THOI HOA;Subsidiaries;BTH;;;Others;Others;;;;VIETINBANK - BINH DUONG;VIETINBANK - BINH DUONG + QM;;;;Fee related land payment;Construction expense;Payment;;;;C00000181;RR DONNELLEY ASIA PRINTING  SOLUTIONS LIMITED;HD1_01;BHD;BWID HAI DUONG;;;; days;0 - 10 days;0%
