Type;Category Cash consol;Key word;SUB_Category
Payment;Construction expense;IPC;
Payment;Construction expense;APG;
Payment;Construction expense;design service;
Payment;Construction expense;geological survey;
Payment;Construction expense;permitting service;
Payment;Construction expense;Main Contractor;
Payment;Construction expense;CENTRAL;
Payment;Construction expense;HOABINH;
Payment;Construction expense;HBC;
Payment;Construction expense;NEWTECONS;
Payment;Construction expense;ICIC;
Payment;Construction expense;ARTELIA;
Payment;Construction expense;NAGECCO;
Payment;Construction expense;GLC;
Payment;Construction expense;UNICONS;
Payment;Construction expense;VEV;
Payment;Construction expense;RICONS;
Payment;Construction expense;ICC;
Payment;Construction expense;KANSAI VINA;
Payment;Construction expense;IBST;
Payment;Construction expense;APAVE;
Payment;Construction expense;RLB;
Payment;Construction expense;VINAINCON;
Payment;Construction expense;ARCADIS;
Payment;Construction expense;An Phu Gia;
Payment;Construction expense;construction;
Payment;Construction expense;Earth works;
Payment;Construction expense;FIRE FIGHTING DESIGN;
Payment;Construction expense;thanh dat;
Payment;Construction expense;viteccon;
Payment;Operating expense;THP;
Payment;Operating expense;NOPTHUE;
Payment;Operating expense;Thu phi duy tri dich vu;
Payment;Operating expense;NSNN;
Payment;Operating expense;IMF;
Payment;Operating expense;EMF;
Payment;Operating expense;nuoc;
Payment;Operating expense;dien;
Payment;Operating expense;water;
Payment;Operating expense;wastewater;
Payment;Operating expense;power;
Payment;Operating expense;IMPC;
Payment;Operating expense;BECAMEX;
Payment;Operating expense;BA DUONG;
Payment;Operating expense;KZN;
Payment;Operating expense;NL;
Payment;Operating expense;AB.MKH;
Payment;Operating expense;meeting;
Payment;Operating expense;Phi duy tri tai khoan;
Payment;Operating expense;PHI QUAN LY TAI KHOAN;
Payment;Operating expense;Phi QLTK;
Payment;Operating expense;electricity;
Payment;Operating expense;Defect rectification;
Payment;Operating expense;installation;
Payment;Operating expense;bank charge;
Payment;Operating expense;Khong co giao dich;
Payment;Operating expense;courier;
Payment;Operating expense;Thanh toan hoa don;
Payment;Operating expense;Audit;
Payment;Operating expense;Kiem toan;
Payment;Operating expense;translation;
Payment;Operating expense;dich thuat;
Payment;Operating expense;maintenance;
Payment;Operating expense;FM service;
Payment;Operating expense;Management fee;
Payment;Operating expense;dich vu;
Payment;Operating expense;consulting;
Payment;Operating expense;tu van;
Payment;Operating expense;Notarized;
Payment;Operating expense;Notarization;
Payment;Operating expense;cong chung;
Payment;Operating expense;Testing;
Payment;Operating expense;Operation service;
Payment;Operating expense;Consumption;
Payment;Operating expense;Reinstatement;
Payment;Operating expense;fix work;
Payment;Operating expense;Repair;
Payment;Operating expense;Environment;
Payment;Operating expense;Refund;
Payment;Operating expense;CS package;
Payment;Operating expense;interim;
Payment;Operating expense;notarizing;
Payment;Operating expense;service contract;
Payment;Operating expense;bao duong;
Payment;Operating expense;UNC;
Payment;Operating expense;cleaning;
Payment;Operating expense;maintenance;
Payment;Operating expense;BANG KE DINH KEM;
Payment;Operating expense;nuoc thai;
Payment;Operating expense;REMITTANCE;
Payment;Operating expense;Ty gia;
Payment;Operating expense;tin dung;
Payment;Operating expense;credit card;
Payment;Operating expense;INV;
Payment;Operating expense;Invoice;
Payment;Operating expense;bonus;
Payment;Operating expense;VAT;
Payment;Operating expense;Token;
Payment;Operating expense;broker;
Payment;Operating expense;moi gioi;
Payment;Operating expense;BDSD;
Payment;Operating expense;DANH SACH;
Payment;Operating expense;Licening;
Payment;Operating expense;Nop thue;
Payment;Operating expense;THUE;
Payment;Operating expense;Sua chua;
Payment;Operating expense;Cable;
Payment;Operating expense;Tang ca;
Payment;Operating expense;QLBDS;
Payment;Operating expense;Valuation;
Payment;Operating expense;Replace;
Payment;Operating expense;Renovation;
Payment;Operating expense;PCCC;
Payment;Deal payment;SPA;
Payment;Deal payment;escrow account;
Payment;Deal payment;upfront LURC;
Payment;Dividend paid (inside group);dividend;
Payment;Dividend paid (inside group);co tuc;
Payment;Dividend paid (inside group);FY;
Payment;Dividend paid (inside group);profit distribution;
Payment;Dividend paid (inside group);phan phoi loi nhuan;
Payment;Dividend paid (inside group);phan chia loi nhuan;
Payment;Dividend paid (inside group);tam ung phan loi nhuan;
Payment;Internal Contribution out;Capital contribution;
Payment;Internal Contribution out;gop von;
Payment;Land acquisition;land payment;
Payment;Land acquisition;land price;
Payment;Land acquisition;land lease;
Payment;Land acquisition;land fee;
Payment;Land acquisition;land rental;
Payment;Loan interest;thu no goc lai;
Payment;Loan interest;thanh toan lai TD;
Payment;Loan interest;thanh toan lai;
Payment;Loan interest;thu lai;
Payment;Loan interest;interest payment;
Payment;Loan interest;interest;
Payment;Loan interest;Loan payment;
Payment;Loan interest;loan prin;
Payment;Loan interest;tra lai;
Payment;Loan interest;PMT PRINT;
Payment;Loan interest;Interest expense;
Payment;Loan interest;TO NGAN HANG;
Payment;Loan interest;tra no TK vay;< 1000000000
Payment;Loan interest;tra no;< 1000000000
Payment;Loan repayment;tra no;> 1000000000
Payment;Loan repayment;GOC VAY NGAN HANG;
Payment;Loan repayment;TRA 1 PHAN GOC;
Payment;Loan repayment;THU GOC;
Payment;Loan repayment;principal;
Payment;Loan repayment;NO GOC;
Payment;Loan repayment;Prepay loan;
Payment;Loan repayment;tra no TK vay;> 1000000000
Payment;Loan repayment;Tra no;
Payment;Loan repayment;Tra goc;
Payment;Loan repayment;Thu no goc;
Payment;Loan repayment;Thu no;> 1000000000
