Bank description; Nợ ; Có ; Nature 
PHI QUAN LY TAI KHOAN 150xxx128 T06 2025;;2,2;Operating expense
PHI QUAN LY TAI KHOAN 222xxx789 T06 2025;;2,2;Operating expense
PHI QUAN LY TAI KHOAN 222xxx911 T06 2025;;2,2;Operating expense
PHI QUAN LY TAI KHOAN 222xxx999 T06 2025;;2,2;Operating expense
Thanh toan lai tai khoan tien gui 819009112551 so tien 29895890 VND;29.895.890,00;;Other receipts
Thanh toan lai tai khoan tien gui 813009581655 so tien 21912329 VND;21.912.329,00;;Other receipts
PHI QUAN LY TAI KHOAN 132xxx986 T06 2025;;55.000,00;Operating expense
KTR_IDICO_Electricity fee in 062025_Term 1.;;200.277.695,00;Operating expense
KTR_VNPT_ FM service fee in 042025.;;154.310.000,00;Operating expense
KTR_VNPT_OT fee 300425 va 010525.;;3.368.640,00;Operating expense
KTR_IDICO_Electricity fee in 052025_Term 3.;;211.476.842,00;Operating expense
REM 9901CI250606000041934 B/O COHERENT VIETNAM (DONG NAI) CO LTD . F/O-1329397986 KIM TRUC DONA CERAMIC JSC DTLS-REF/202506062010011000270479654001 [3185635567] BIDV TPHCM HCM PAYMENT INV 00000041-043-044- BIDV + CN NAM SAI GON Bank Charge .00 VAT .00;2.039.727.178,00;;Receipt from tenants
REF222A2560PDD04UVL B/O 1329397986 CTCP DV KHKT VA SX GOM SU KIM TRUC DONG NAI F/O 3932683688 CTY CP XAY DUNG KM GLOBAL NHH79311005 KTR_KMG_ 3rd Payment for contract KTDN.VD.25002;;168.996.132,00;Operating expense
PHI QUAN LY TAI KHOAN 150xxx050 T06 2025;;55.000,00;Operating expense
BW Nam Dinh Vu_NDV ESCO_Power Consumption fee in May 2025 Inv 524426;;20.995.681,00;Operating expense
NDV_IMPC_Payment for Defect Rectification va Renovation Quarter 4.2024 Contract Inv 00000174;;13.454.640,00;Operating expense
REF222A25608S2MFSGH B/O 1500871050 CTY TNHH PT CONG NGHIEP BW NAM DINH VU F/O 00001549702 CTY CP XAY DUNG VA SX KANSAI VINA NHH01358002 NDV_Kansai Vina_Advance payment 30 percentage of contract value Works after Typhoon Yagi;;354.374.987,00;Operating expense
REF222A2560PDD0J8DE B/O 1500871050 CTY TNHH PT CONG NGHIEP BW NAM DINH VU F/O 680201826886 CREW24 NHH31311002 NDV_CREW24_Payment FM Service May 2025 Inv 00000087;;108.900.000,00;Operating expense
PHI QUAN LY TAI KHOAN 222xxx688 T06 2025;;55.000,00;Operating expense
